Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
bCom ldan rigs pa’i ral gri,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa rgyan gyi me tog,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa rgyan gyi me tog,22,22,2_055_13,10490 prima ,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,no place,tantra + Mañjushri,ma,ma,599,599,42.5 x 6.5,"Drepung Cat #10490-10499 all taken from same collection (based on size)
Another version in Drepung karchag = 12899"
bCom ldan rigs pa’i ral gri,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa rgyan gyi me tog,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa rgyan gyi me tog,22,6,,12899,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,dpe tshugs,no place,tantra + Mañjushri,ma,ma,962,599,62 x 9.5,Another version in Drepung karchag = 10490 prima
bCom ldan rigs pa’i ral gri,mtshan yang dag par brjod pa'i sgrub thabs rgyan gyi me tog,mTshan yang dag par brjod pa'i sgrub thabs rgyan gyi me tog,3,3,2_055_14,19264,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,no place,Propitiation,la,la,501,501,42.5 x 6.5,
bCom ldan rigs pa’i ral gri,paN chen bi b+hU ta'i sdom gsum 'od kyi phreng ba rgyan gyi me tog dkyil 'khor gyi thig gi man ngag dang / bshad rgyud rdo rje phreng ba'i le'u lnga bcu rtsa bzhi pa nas bshad pa'i dkyil 'khor cho ga nyi shu pa. BDRC=cover page: sdom gsum 'od kyi phreng ba rgyan gyi me tog,sDom gsum 'od kyi phreng ba rgyan gyi me tog,8,5,2_055_15,19278,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,no place,Monastic rules + vows,la,la,501,501,42.7 x 6.5,
bCom ldan rigs pa’i ral gri,dKyil ʼkhor gyi thig gi man ngag dang  bshad rgyud rdo rje phreng baʼi leʼu lnga bcu rtsa bzhi pa nas bshad paʼi dkyil ʼkhor cho ga nyi shu pa  rnam lnga maṇḍa gyi sbyor ba / rnam lnga maNDa gyi sbyor ba/,,9,,2_055_16,,,bCom ldan rigs pa’i ral gri,,,, no place,,,ma,,1205?,,
bCom ldan rigs pa’i ral gri,shAkya thub pa'i sgrub thabs. Incipit: bcom ldan 'das shA-kya thub pa'i sgrub thabs,bCom ldan 'das sha+'kya thub pa'i sgrub thabs,2,2,2_056_01,19259,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Propitiation,la,la,501,501,42 x 6.5,
bCom ldan rigs pa’i ral gri,'phags pa byams pa'i sgrub thabs,Phags pa byams pa'i sgrub thabs,2,2,2_056_02,19258,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Propitiation,la,la,501,501,42 x 6.2,
bCom ldan rigs pa’i ral gri,gsang ba'i bdag po phyag na rdo rje la bstod pa rgyan gyi me tog,gSang ba'i bdag po phyag na rdo rje la bstod pa rgyan gyi me tog,5,6,2_056_03,19265,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,eulogy,la,la,501,501,34.5 x 6.5,
bCom ldan rigs pa’i ral gri,seng ldeng nag sgrol ma'i sgrub thabs,seng ldeng gnags kyi sgrol ma'i sgrub thabs,2,2,2_056_04,13656,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,bris ma dbu can,snar thag,Propitiation,ma,ma,1025,1025,47x 6,
bCom ldan rigs pa’i ral gri,'phags ma sgrol ma nyi shu rtsa gcig gi sgrub thabs,phags ma sgrol ma phyag 'tshal nyi shu rtsa gcig gi sgrub thabs kyi man ngag,2,2,2_056_05,13651,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,bris ma dbu can,,Propitiation,ma,ma,1025,1025,47 x 6,
bCom ldan rigs pa’i ral gri,ri khrod lo ma can ma'i sgrub thabs,ri khrod lo ma can gnyis,1,1,2_056_06,19645,,bCom ldan rigs pa’i ral gri,bCom ldan rigs ral gri,,bris ma dbu can,,Propitiation,la,la,550,550,35 x 6,"Title in Drepung karchag suggests it's 2_056_06 and 2_056_07, as both have the same title 
Matches folio size - and is found among in Drepung karchag - a collection of texts authored by sKyo ston smon lam tshul khrims"
bCom ldan rigs pa’i ral gri,ri khrod lo ma can ma'i sgrub thabs,,1,1,2_056_07,19645,,bCom ldan rigs pa’i ral gri,bCom ldan rigs ral gri,,bris ma dbu can,snar thang,Propitiation,la,la,550,550,35 x 6,"Title in Drepung karchag suggests it's 2_056_06 and 2_056_07, as both have the same title 
Matches folio size - and is found among in Drepung karchag - a collection of texts authored by sKyo ston smon lam tshul khrims"
bCom ldan rigs pa’i ral gri,bde gshegs kun gyi snying po,,1,,2_056_08,,,bCom ldan rigs pa’i ral gri?,,ze'u,,,,,la,,550,,
sKyo ston smon lam tshul khrims,mi g.yo ba'i dmigs pa skor gsum,mi g.yo ba'i dmigs pa skor gsum,1,1,2_056_09,19646,,sKyo ston smon lam tshul khrims,sKyo ston smon lam tshul khrims,,dpe tshugs,,visualisation,la,ra,550,64,35 x 6,Same manuscript as 3_061_11. Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
bCom ldan rigs pa’i ral gri,sangs rgyas tshe dpag med kyi sgrub thabs/,sangs rgyas tshe dang ye shes dpag tu med pa'I sgrub thabs,1,1,2_056_10,11554 prima,,bCom ldan rigs pa’i ral gri,bCom ldan rig pa’i ral gri,,bris ma dbu can,,Propitiation,ma,ma,692,692?,44 x 6.7,
bCom ldan rigs pa’i ral gri,sangs rgyas sum cu rtsa lnga la bstod pa; colophon: sangs rgyas gsum bcu rtsa lnga la bstod pa rgyan (gyi?) me tog,sangs rgyas sum cu rtsa lnga la bstod pa,1,1,2_056_11,12437,,bCom ldan rigs pa’i ral gri,sh+'akya'I dge slong bcom ldan ral gris,,dpe tshugs,,eulogy,ma,ma,926,926,35 x 6,
bCom ldan rigs pa’i ral gri,don zhags kyi bsnyung gnas kyi man ngag,don zhags kyi bsnyung gnas,2,2,2_056_12,13641,,bCom ldan rigs pa’i ral gri,bCom ldan ral gri,,bris ma dbu can,bla ma'i thugs dam snying po g.yu,,ma,ba,1025,9,47 x 6,Another version in drepung karchag = 6133
bCom ldan rigs pa’i ral gri,don zhags kyi bsnyung gnas kyi man ngag,don zhags kyi bsnyung gnas kyi man ngag,2,2,,6133,,bCom ldan rigs pa’i ral gri,bCom ldan ral gri,,bris ma dbu can,bla ma'i thugs dam snying po g.yu,,ba,ba,9,10,45 x 7,Another version in drepung karchag = 13641
bCom ldan rigs pa’i ral gri,colophon: don zhags kyi bsdus don,,1,,2_056_13,,,bCom ldan rigs pa’i ral gri,,,,,tantra,,,,,,
bCom ldan rigs pa’i ral gri,gcod kyi gdams pa nam mkha' sgo 'byed,gcod kyi gdams pa nam mkha' sgo 'byed,3,3,2_056_14,13645,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,gser,bris ma dbu can,rtsang me tog mdangs can gyi dgon pa,,ma,ma,1025,1025,47 x 6,
bCom ldan rigs pa’i ral gri,mchod pa'i cho ga rgyan gyi me tog,mChod pa'i cho ga rgyan gyi me tog,7,13,2_056_15,19272,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,ritual,la,la,501,501,43 x 6.5,
bCom ldan rigs pa’i ral gri,dkyil 'khor rgyan gyi me tog,dKyil 'khor rgyan gyi me tog,14,14,2_056_16,19279,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,gtsang me tog mdangs can gyi dgon pa,Mandala,la,la,501,501,none given,Another version in Drepung karchag = 10554
bCom ldan rigs pa’i ral gri,dkyil 'khor rgyan gyi me tog,dKyil 'khor rgyan gyi me tog,14,10,,10554 prima,,bCom ldan rigs pa’i ral gri,bcom ldan ral gris,,dpe tshugs,gtsang me tog mdangs can gyi dgon pa,Mandala,ma,la,610,501,68 x 9.8,Another version in Drepung karchag = 19279
dza ya sa na + bCom ldan rigs pa’i ral gri,chab gtor 'jam dpal ma'i gzhung,chab gtor 'jam dpal ma'i gzhung,5,5,2_056_17,12427,,dza ya sa na + bCom ldan rigs pa’i ral gri,rgyal ba'i sde,,dpe tshugs,dpal ldan gser bzang dgon pa,ritual,ma,ma,926,926,36 x 7,
bCom ldan rigs pa’i ral gri,mdo sde rgyan gyi me tog ces bya ba'i dka' gnas,mDo sde rgyan gyi me tog,73,73,2_056_18,19274,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,Perfection of wisdom,la,la,501,501,43 x 6.5,Another version in Drepung catalogue = 16047?
bCom ldan rigs pa’i ral gri,mdo sde rgyan gyi me tog ces bya ba'i dka' gnas,mDo sde rgyan gyi me tog,73,14,,16047,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,dpe tshugs,,Perfection of wisdom,tsha,la,132,501,33.5 x 6,Another version in Drepung catalogue = 19274?
bCom ldan rigs pa’i ral gri,spring yig bdud rtsi thig pa'i bsdus don/,Springs yig bdud rtsi'i thigs pa'i bsdus don,3,3,2_056_19,19266,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,,la,la,501,501,43 x 6.5,
bCom ldan rigs pa’i ral gri,jig rten gyi zhing khams rgya mtsho gzhi dang snying po me tog gis brgyan pa rnam par bshad pa rgyan gyi me tog,Jig rten khams rgya mtsho gzhi dang snying po me tog gi brgyan pa rnam par bshad pa rgyan gyi me tog,7,7,2_056_20,19273,,bCom ldan rigs pa’i ral gri,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,cosmology,la,la,501,501,43 x 6.5,
bCom ldan rigs pa’i ral gri,?,,1,,2_056_21,,,bCom ldan rigs pa’i ral gri,,,,me tog mdangs can dgon pa,,,,,,,
bCom ldan rigs pa’i ral gri,dgyes pa rdo rje rgyan gyi me tog,dgyes pa rdo rje rgyan gyi me tog,86,86,2_056_22,10497,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,,tantra,ma,ma,599,599,42.5 x 6.10,Drepung Cat #10490-10499 all taken from same collection (based on size)
bCom ldan rigs pa’i ral gri,rgyud brtag pa gnyis pa'i bsdus don,rgyud brtag pa gnyis pa'i bsdus don,12,12,2_056_23,10499,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,gtsang me tog mdangs can gyi dgon pa,tantra,ma,ma,599,599,42.5 x 6.12,Drepung Cat #10490-10499 all taken from same collection (based on size)
bCom ldan rigs pa’i ral gri,rgyud kun tu spyod pa rgyan gyi me tog ,rgyud kun tu spyod pa rgyan gyi me tog ,4,10,2_056_24,10498,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,,tantra,ma,ma,599,599,42.5 x 6.11,Drepung Cat #10490-10499 all taken from same collection (based on size)
bCom ldan rigs pa’i ral gri,tshogs kyi 'khor lo'i cho ga rgyan gyi me tog,tshogs kyi 'khor lo'i cho ga rgyan gyi me tog,4,4,2_056_25,13667,,bCom ldan rigs pa’i ral gri,bCom ldan rigs pa’i ral gri,,dpe tshugs,,ritual,ma,ma,1025,1025,34 x 7,Another version: 13693
bCom ldan rigs pa’i ral gri,mkha' 'gro seng gdong mas gsungs pa'i rdo rje'i tshig rkang,mkha' 'gro seng gdong mas gsungs pa'i rdo rje'i tshig rkang,6,5,2_056_26,13668,,bCom ldan rigs pa’i ral gri,no name given,,dpe tshugs,no place,dakini,ma,ma,1025,1025,34 x 7,Another version: 13693
bCom ldan rigs pa’i ral gri,sgyu ma chen mo rgyan gyi me tog,rGyu ma rgyan gyi me tog,13,13,2_056_27,10491,,bCom ldan rigs pa’i ral gri,bCom ldan rig ral,,bru tsha,no place,,ma,ma,599,599,42.5 x 6.6,Drepung Cat #10490-10499 all taken from same collection (based on size)
bCom ldan rigs pa’i ral gri,Colophon: 'phaGS pa bsdud pa'i pin+da-r+thaM Cover page: sdud pa tshigs su bcad pa,,7,,2_056_28,,,bCom ldan rigs pa’i ral gri,,,,,Perfection of wisdom,,la,,182,,
bCom ldan rigs pa’i ral gri,rgyas pa 'bum gyi 'gyur byang drug bshad pa/,,1,,2_056_29,,,bCom ldan rigs pa’i ral gri,,,,no place,,,la,,182,,
bCom ldan rigs pa’i ral gri,gsang ba snying po'i 'gyur byang,,1,,2_056_30,,,bCom ldan rigs pa’i ral gri,,,,,,,la,,232,,
bCom ldan rigs pa’i ral gri,mNgon pa kun las btus paʼi bshad pa rgyan gyi me tog,,314,,2_057_01,,,bCom ldan rigs pa’i ral gri,,,,dngul chu'i rdzong,Abhidharma,,la,,232,,
rgyal sras thogs med bzang po,sems bkyed sdom pa rang gis blang ba'i cho ga,,4,,2_058_01,,,rgyal sras thogs med bzang po,,,,chos rdzong,ritual,,ra,,46,,
rgyal sras thogs med bzang po,sems tsam lugs kyi smon ‘jug sems bskyed kyi cho ga,theg pa chen po'i sems bskyed pa'i cho ga sems tsam lugs byon,14,14,2_058_02,18262?,,rgyal sras thogs med bzang po,btsun pa thogs med,,bru tsha,chos rdzong,ritual,la,la,146,355,45 x 8,
rgyal sras thogs med bzang po,smon ‘jug sems bskyed kyi cho ga,smon 'jug gi sems skyed kyi cho ga byed tshul,15,none given,2_058_03,18263?,,rgyal sras thogs med bzang po,btsun pa thogs med,,shing dpar,,ritual,la,ma,146,125,none given,
rgyal sras thogs med bzang po,Blo sbyong don bdun ma brgyud paʼi gsol ʼdebs dang bcas pa,Blo sbyong don bdun ma'i khrid yig,15,14,2_058_04,18094?,,rgyal sras thogs med bzang po,btsun pa thogs med,,dpe tshugs,chos rdzong,Mind training + prayer,la,,98,,42 x 7,
rgyal sras thogs med bzang po,Thogs med bzang po dpal gyi bkaʼ ʼbum ʼthor buʼi skor,rgyal sras thogs med pa'i bka' 'bum thor bu,73,153,2_058_05,18824 ?,,rgyal sras thogs med bzang po,rgyal sras thos med,,dpe tshugs,,,la,la,360,522,42.3 x 11.2,"Other versions in Drepung karchag = 18533, 18329, 18340, 19160 and 18107"
rgyal sras thogs med bzang po,Blo sbyong don bdun maʼi snyan brgyud kyi tshig rnams ye ge nyung nguʼi sgo nas bkrol ba,blo sbyong don bdun ma,20,20,2_058_06,18759,,rgyal sras thogs med bzang po,btsun pa thogs med,,dpe tshugs,,Mind training,la,la,355,355,39.5 x 7,
rgyal sras thogs med bzang po,rTen ʼbrel snying poʼi snying poʼi khrid yig,rTen ʼbrel snying poʼi khrid yig,6,7,2_058_07,7052,,rgyal sras thogs med bzang po,rgyal sras dngul chu thogs med,,dpe tshugs,,,ma,la,125,182,25.2 x 7.5,
rgyal sras thogs med bzang po,blo sbyong zin bris dang dmar khrid zin bris bcas,,40,,2_058_08,19859?,,rgyal sras thogs med bzang po,,,,,,,la,,182,,"There is a work with the same title and signature in the Drepung karchag (19859) but attributed to rgyal sras thogs med's student, dpal ldan ye shes (APIS ID 4112)"
rgyal sras thogs med bzang po,theg pa chen po'i blo sbyong ,theg pa chen po'i blo sbyong rgyal sras thogs med pa'i gsung sgros dang bcas pa,79,76,2_059_01,18763,,rgyal sras thogs med bzang po,btsun pa thogs med,,dpe tshugs,no place,Mind training,la,la,355,182,40 x 7.5,
rgyal sras thogs med bzang po,rgyas sras zhi ba lha'i gsung sgros,,4,,2_059_02,,,rgyal sras thogs med bzang po,,,,,,,la,,182,,
rgyal sras thogs med bzang po,mdo sde rgyan dang rgyud bla ma spyod 'jug rnams kyi 'grel TIkka gi dbu zhabs kyi tshigs bcad,,40,,2_059_03,,,rgyal sras thogs med bzang po,,,,,Perfection of wisdom + Buddha Nature + Madhyamaka,,la,,182,,
rgyal sras thogs med bzang po,phyag chen lhan cig skyes sbyor gyi khrid yig,,10,,2_059_04,,,rgyal sras thogs med bzang po,,,,dngul chu'i chos rdzong,Great seal,,la,,182,,
rgyal sras thogs med bzang po,sangs rgyas byang sems la bstod pa dang sman bla'i rjes gnang ,,3,,2_059_05,,,rgyal sras thogs med bzang po,,,,dngul chu'i chos rdzong (for txt v),eulogy,,la,,182,,
rgyal sras thogs med bzang po,bla ma la bstod dang ba'i chu rgyun,,8,,2_059_06,,,rgyal sras thogs med bzang po,,slob dpon dpal ldan ye shes,,,eulogy,,la,,182,,
rgyal sras thogs med bzang po,jo bo rin po che'i bstod pa la sogs pa yi dam gyi lha 'ga' zhig gi bstod pa,,7,,2_059_07,,,rgyal sras thogs med bzang po,,byam dbyangs dkar po (for txt v),,,eulogy + prayer,,la,,182,,
rgyal sras thogs med bzang po,lDong ston la gdams pa sogs springs yig gi skor,,3,,2_059_08,,,rgyal sras thogs med bzang po,,,,dpal e'i chos gra chen po,letters,,la,,182,,
rgyal sras thogs med bzang po,bsNgo baʼi rim pa,,3,,2_059_09,,,rgyal sras thogs med bzang po,,,,dpal e'i gtsug lag khang,merit,,la,,182,,
rgyal sras thogs med bzang po,theg pa chen po rgyud bla ma'i 'grel pa nges don gsal ba'i 'od zer/,theg pa chen po rgyud bla ma'i 'grel ba nges don gsal bar byed pa'i 'od zer,63,72,2_059_10,16010,,rgyal sras thogs med bzang po,rgyal sras dngul chu thogs med,,dpe tshugs,,Buddha Nature,tsha,la,122,182,47 x 8,
rgyal sras thogs med bzang po,theg pa chen po mdo sde rgyan gyi 'grel pa rin po che'i phreng ba,theg pa chen po mdo sde rgyan gyi 'grel pa rin pa rin po che'i phreng ba,204,240,2_060_01,15953,,rgyal sras thogs med bzang po,dngul chu rgyal sras thogs med bzang po,,dpe tshugs,no place,Perfection of wisdom,tsha,la,103,182,43 x 7.8,Other versions in Drepung karchag = 15754 and 15748
rgyal sras thogs med bzang po,theg pa chen po mdo sde rgyan gyi 'grel pa rin po che'i phreng ba,theg pa chen po mdo sde rgyan gyi 'grel ba rin chen phreng ba,204,263,,15754,,rgyal sras thogs med bzang po,rgyal sras dngul chu thogs med,,dpe tshugs,no place,Perfection of wisdom,tsha,la,29,182,47 x 8,Other versions in Drepung karchag = 15953 and 15748
rgyal sras thogs med bzang po,theg pa chen po mdo sde rgyan gyi 'grel pa rin po che'i phreng ba,theg pa chen po mdo sde rgyan gyi 'grel pa rin po che'i phreng ba,204,150,,15748,,rgyal sras thogs med bzang po,chos smra ba'i btsun pa thogs med,,dpe tshugs,no place,Perfection of wisdom,tsha,la,22,182,51 x 8,Other versions in Drepung karchag = 15754 and 15953
Skyo ston smon lam tshul khrims,mkhan po chen po snar thang pa’i gsan yig,,14,,3_061_01,,,Skyo ston smon lam tshul khrims,,,,,Record of teaching,,tsha,,122,,
Mchims nam mkha’ grags ,mkhan po mchims pa’i gsan yig,mKhan po mchims pa'i gsan yig,7,7,3_061_02,12498,,Mchims nam mkha’ grags ,Mchims nam mkha’ grags ,,dpe tshugs,,Record of teaching,ma,,927,,41 x 7.5,
Mchims nam mkha’ grags ,bka' gdams lo rgyus dang 'brel ba'i blo sbyong ,,7,,3_061_03,,,Mchims nam mkha’ grags ,,,,,Mind training,,,,,,
Mchims nam mkha’ grags ,chos 'chad nyan la 'jug pa'i yan lag dam tshig sgrol ma,Chos 'chad nyan la 'jug pa'i yan lag tshig gi sgron ma don gyi mun sel,18,18,3_061_04,18429,,Mchims nam mkha’ grags ,Sh+'akya'i dge slong nam mkha' grags,,bru tsha,sngags pa snar thang gyi dben gnas,,la,,209,,66 x 11,Another version: 18493
Mchims nam mkha’ grags ,chos 'chad nyan la 'jug pa'i yan lag dam tshig sgrol ma,Chos bshad mnyan la 'jug pa'i yan lag tshig gi sgron mas don gyi mun pa sel ba,18,13,,18954,,Mchims nam mkha’ grags ,Sh+'akya'i dge slong nam mkha' grags,,bru tsha,sngags pa snar thang gyi dben gnas,,la,,392,,66 x 9.5,
Mchims nam mkha’ grags ,chos 'chad nyan la 'jug pa'i yan lag dam tshig sgrol ma,Chos 'chad nyan la 'jug pa'i yan lag tshig gi sgron ma don gyi mun pa sel ba,18,20,,19251,,Mchims nam mkha’ grags ,Sh+'akya'i dge slong nam mkha' grags,,bru tsha,sngags pa snar thang gyi dben gnas,,la,,500,,66 x 10,
Mchims nam mkha’ grags ,'jug pa seMs skyed kyi cho ga,Jug pa sems skyed kyi cho ga,9,9,3_061_05,19624,,Mchims nam mkha’ grags ,dGe slong nam mkha' grags,,dpe tshugs,,ritual,la,,550,,36 x 6,
sKyo ston smon lam tshul khrims ,dbus mtha'i khrid (cover) / dbus mtha'i man ngag gi chings (colophon),dbus mtha'i khrid,7,7,3_061_06,19636,,sKyo ston smon lam tshul khrims ,skyo ston smon lam tshul khrims,,bris ma dbu can,,Perfection of wisdom,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,ro snyoms gsum gyi gdams pa,ro snyoms gsum gyi gdams ngag,9,9,3_061_07,19640,,sKyo ston smon lam tshul khrims ,skyo ston smon lam tshul khrims,,bru tsha,,,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
sKyo ston smon lam tshul khrims ,bka' gdams gzhung gi gdams pa tshigs su bcad pa brgya pa,bka' gdams gzhung gi gdams pa tshigs su bcad pa brgya pa,5,5,3_061_08,19641,,sKyo ston smon lam tshul khrims?,skyo ston smon lam tshul khrims,,dpe tshugs,,Biography / History,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
bCom ldan rigs pa’i ral gri,ri khrod lo ma can gyi sgrub thabs,ri khrod lo ma can gnyis,1,1,3_061_09,19645,,bCom ldan rigs pa’i ral gri,bCom ldan rigs ral gri,,bris ma dbu can,,Propitiation,la,la,550,550,35 x 6,Matches folio size - and is found among in Drepung karchag - a collection of texts authored by sKyo ston smon lam tshul khrims
sLob dpon pad ma,bde gshegs kun gyi snying po/tshe bsgrub,,1,,3_061_10,,,slob dpon pad ma (=sKyo ston smon lam tshul khrims ?),,Ze'u,,brag dkar,Propitiation + mantra,,,,,,
sKyo ston smon lam tshul khrims,mi g.yo ba'i dmigs pa skor gsum,mi g.yo ba'i dmigs pa skor gsum,1,1,3_061_11,19646,,sKyo ston smon lam tshul khrims,sKyo ston smon lam tshul khrims,,dpe tshugs,no place,visualisation,la,,550,,35 x 6,Same manuscript as 2_056_09
bCom ldan rigs pa’i ral gri,bstan pa rgyas pa rgyan gyi nyi 'od,,78,,3_061_12,,,bCom ldan rigs pa’i ral gri,,blo gros seng ge,,dpal ldan snar thang gi dgon pa,Bibliography,,,,,,
bCom ldan rigs pa’i ral gri,grub mtha' rgyan gyi me tog. Incipit: grub pa'i mtha' rnam par dbye ba rgyan gyi me tog,,144,,3_061_13,,,bCom ldan rigs pa’i ral gri,,(gla dam/glang ma)?,,no place,Doxography,,,,,,
bCom ldan rigs pa’i ral gri,mdo sde rgyan gyi rnam par bshad pa rgyan gyi me tog,,26,,3_061_14,,,bCom ldan rigs pa’i ral gri,,,,no place,Perfection of wisdom,,,,,,
bCom ldan rigs pa’i ral gri,dbu ma rgyan gyi rnam par bshad pa tshig don gsal ba'i me tog. Colophon: dbu ma rgyan gyis (correct to gyi) rnam par bshad pa tshig don gsal ba'i me tog,,28,,3_061_15,,,bCom ldan rigs pa’i ral gri,,,,,Madhyamaka,,,,,,
bCom ldan rigs pa’i ral gri,dbu ma rtsa ba shes rab rgyan gyi me tog,,113,,3_062_01,,,bCom ldan rigs pa’i ral gri,,,,,Madhyamaka,,,,,,
